20230311	17:11:01	481df392-5e7f-475e-9de6-6d8e4d506502	GET	/employees https://www.youtube.com	 from 	192.168.0.11
20230311	17:11:07	60fa3cd2-3fc8-4b0c-9ef9-ea8ec7ea8049	GET	/employees https://www.youtube.com	 from 	192.168.0.11
20230311	17:11:15	afd20bed-6c63-4732-8957-44152398a66e	GET	/employees https://www.youtube.com	 from 	192.168.0.11
20230311	17:12:02	af1676ee-9cee-4613-94fa-8801b6815906	GET	/public undefined	 from 	192.168.0.11
20230311	17:13:42	51f86868-a8e7-4853-9931-c70b0318a4d1	GET	/ undefined	 from 	192.168.0.11
20230311	17:14:23	dc110e42-ef48-496c-9b41-1244ed14e0b5	GET	/employees undefined	 from 	192.168.0.11
20230311	17:14:31	26f6dd32-1da3-4556-a661-80a7466b7be0	GET	/employees https://www.youtube.com	 from 	192.168.0.11
20230311	17:15:44	9e609a1e-2c06-4c3b-8896-e6a359064b48	POST	/employees undefined	 from 	192.168.0.11
20230311	17:16:28	86069741-5ca2-4748-b343-5498df53dcfc	DELETE	/employees undefined	 from 	192.168.0.11
20230311	17:30:25	2776bf06-e041-4659-a3ff-23a38d6706e8	DELETE	/employees undefined	 from 	192.168.0.11
20230311	17:30:30	1150c165-fff3-49ad-a1bf-0f90cb77729c	GET	/employees undefined	 from 	192.168.0.11
20230311	17:33:21	c81941f8-f604-4686-8f08-ef6b124e8a70	GET	/employees undefined	 from 	192.168.0.11
20230311	17:36:40	3e4c74a1-2ece-4aa1-905f-dfc7e83ec7df	GET	/p%E1%BB%8Fn undefined	 from 	192.168.0.11
20230311	17:37:07	4887288d-4dbc-419c-aefc-de1862264aeb	GET	/logs/errLog.txt undefined	 from 	192.168.0.11
20230311	17:37:18	050d266b-5c43-4fa6-b27e-93d8dd526f9a	GET	/porrn undefined	 from 	192.168.0.11
